file_id,filename
12QPS0g2zGkpVX4rBJhB93BklZ59Kcy6Y,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500
1HSSvVxY2zFjkKH-e3FphRXKqvubrK5Iz,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500
1GI5H81BwOLvsM-8Db-dDYPN7FIpq-qJF,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500
1asgiaRrkPBesgHNeg4sbFRb8ZQPJi4t1,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500
1M-GtO0tQ0JDq2Q4E0T_JMCLXvaB6cdmP,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500
1uJ1O6kkUeWC6zvloZQh2krLl0YXO49yy,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500
16G7ZEwpc7NYNQ2cMz_V0ap5XS3zPRXoW,TCGA-OL-A5RW-DX1_xmin5772_ymin6839_MPP-0.2500
1nD2A5koMZe24b6J1uebIJ9UQlvt954iB,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500
1eNdRyspZA9ytd7b6XXHwG8o1MabsKdYW,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500
1jeBOgsDqLxKH3rbuH_5tg7sQvtWPjuOx,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500
1Cw2MgWRwpd8jIxZJNJRNF05n62dLHVz2,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500
1kmsPGlQf5QZ9y9Uv5eqyrfxC3kwJwDGb,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500
115lfBSk8GJCjpcjqDxMdVk0exlgY_1KP,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500
1UA5RZGv8feMEeOJFL6fclxUo6WXlIv9S,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500
1lg1lJNUsw1qUrjNB1L9v01QPnrrujJt3,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500
1dkYHkt5GKFf1JnfCVH7vCRJTxOmTPyxn,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500
1hC1upxvHWdLK1TsMEeemA3uAmiGr4FLg,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500
1RVgqQwm7VGZaZTEhf2KsO19rrIJ-cDQb,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500
1COaU4vOgs5wWPto5RfT5oZGz7wpSrhhg,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500
19wye7NLxx6Oe4GmpCb_4HVPfNlvXytoo,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500
1Ewmzyd_zIXMFQKANJJ5HkKEmCuZ7FdMh,TCGA-GI-A2C9-DX1_xmin20882_ymin11843_MPP-0.2500
1dgRRbkdTtllv66hphZX5TAtZLXfmt1-r,TCGA-EW-A6SB-DX1_xmin34625_ymin56578_MPP-0.2500
1orYFQOWTme5xCvliCimv1247IbBpDscN,TCGA-EW-A3U0-DX1_xmin113512_ymin48566_MPP-0.2500
1WsAAzB9CK_8zk3telggXfgieUamVHHrV,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500
10z5H7l9S3NEwnffZ2z-zpznImmNsmukr,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500
14UkbDn4B1-YqrF3T7jD2AWMjvwVzs9Qc,TCGA-EW-A1P8-DX1_xmin15520_ymin26381_MPP-0.2500
1V_ot9idTvzL-m9K58qncKMtzA5GcxNls,TCGA-EW-A1P7-DX1_xmin9808_ymin46395_MPP-0.2500
1BXA1zh78ZdWAHH5wIxEZfxbdPz1szBQb,TCGA-EW-A1P4-DX1_xmin17256_ymin35430_MPP-0.2500
17Z26m1MmojFDh3nIgmSdtobs1FWTKa_m,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500
10dqRt5-MzVLRW7vpdRXHYHTZhNmZyVRr,TCGA-EW-A1OW-DX1_xmin36101_ymin49680_MPP-0.2500
11EmYxgr_UuugI5Mep9-XWVTtGokG8Hpz,TCGA-EW-A1OV-DX1_xmin126026_ymin65132_MPP-0.2500
1RoWK6njpizWqBmwj1PwZAqBmHevYBdnk,TCGA-E9-A5FL-DX1_xmin45595_ymin47283_MPP-0.2500
1o8jDAcMxdSSKpa9Uz5dsF43Vw3ZbVSg7,TCGA-E2-A574-DX1_xmin54962_ymin47475_MPP-0.2500
1EvucoeVGqyC1XKv2T9pvH9ucqexpDPW0,TCGA-E2-A573-DX1_xmin59666_ymin56141_MPP-0.2500
1G1YCk-ScCr4psRsI_TkgeZ-zJ0PcGCr8,TCGA-E2-A159-DX1_xmin38620_ymin28700_MPP-0.2500
1nH5s9eg0PrINESHrLm7DkJSQ_7LPhLKs,TCGA-E2-A158-DX1_xmin56083_ymin25872_MPP-0.2500
179-14VLwPtZ8TEZEYN5Au3WCH8Y-gDru,TCGA-E2-A150-DX1_xmin42083_ymin62113_MPP-0.2500
1lINcRq9_nk2-tPLFAQkOyXJO1ladMjpe,TCGA-E2-A14X-DX1_xmin88836_ymin66393_MPP-0.2500
